region;price;year;manufacturer;model;condition;cylinders;fuel;transmission;type;paint_color;state
los angeles;35000;2018;chevrolet;silverado;like new;8 cylinders;gas;automatic;truck;white;ca
los angeles;35000;2019;volvo;xc90 t8 hybrid inscription;like new;6 cylinders;hybrid;automatic;sedan;silver;ca
los angeles;35000;2019;volvo;xc90 t8 hybrid inscription;like new;6 cylinders;hybrid;automatic;sedan;silver;ca
anchorage / mat-su;34999;2014;toyota;tundra sr5;excellent;8 cylinders;gas;automatic;truck;black;ak
anchorage / mat-su;34999;2014;mitsubishi;evo mr;excellent;4 cylinders;gas;automatic;sedan;blue;ak
anchorage / mat-su;34999;2014;toyota;tundra sr5;excellent;8 cylinders;gas;automatic;truck;black;ak
anchorage / mat-su;34999;2018;jeep;wrangler jk unlimited;excellent;6 cylinders;gas;automatic;SUV;blue;ak
anchorage / mat-su;34999;2018;jeep;wrangler jk unlimited;excellent;6 cylinders;gas;automatic;SUV;blue;ak
anchorage / mat-su;34999;2018;jeep;wrangler jk unlimited;excellent;6 cylinders;gas;automatic;SUV;blue;ak
phoenix;34999;2015;ford;f150 king ranch 4x4;like new;6 cylinders;gas;automatic;truck;red;az
phoenix;34999;2019;kia;stinger;excellent;6 cylinders;gas;automatic;sedan;white;az
show low;34999;2020;toyota;tacoma access cab trd;like new;6 cylinders;gas;automatic;pickup;silver;az
flagstaff / sedona;34997;2017;chevrolet;silverado 1500;excellent;8 cylinders;gas;automatic;pickup;white;az
flagstaff / sedona;34997;2011;chevrolet;silverado 3500hd;excellent;8 cylinders;diesel;automatic;pickup;white;az
tucson;34997;2017;chevrolet;silverado 1500;excellent;8 cylinders;gas;automatic;pickup;white;az
tucson;34997;2011;chevrolet;silverado 3500hd;excellent;8 cylinders;diesel;automatic;pickup;white;az
prescott;34996;2019;toyota;highlander;like new;6 cylinders;gas;automatic;SUV;silver;az
anchorage / mat-su;34995;2015;ram;1500;excellent;8 cylinders;gas;automatic;truck;silver;ak
anchorage / mat-su;34995;2016;toyota;highlander limited;excellent;6 cylinders;gas;automatic;SUV;black;ak
anchorage / mat-su;34995;2018;honda;odyssey ex-l;excellent;6 cylinders;gas;automatic;mini-van;grey;ak
anchorage / mat-su;34995;2016;toyota;highlander limited;excellent;6 cylinders;gas;automatic;SUV;black;ak
anchorage / mat-su;34995;2017;toyota;tacoma trd sport 4x4;excellent;6 cylinders;gas;automatic;pickup;red;ak
anchorage / mat-su;34995;2015;chevrolet;silverado 1500;like new;8 cylinders;gas;automatic;truck;black;ak
anchorage / mat-su;34995;2014;chevrolet;silverado 1500;like new;8 cylinders;gas;automatic;truck;brown;ak
anchorage / mat-su;34995;2012;ram;2500 laramie longhorn;like new;6 cylinders;diesel;automatic;truck;white;ak
anchorage / mat-su;34995;2014;chevrolet;silverado 1500;like new;8 cylinders;gas;automatic;truck;brown;ak
anchorage / mat-su;34995;2012;ram;2500 laramie longhorn;like new;6 cylinders;diesel;automatic;truck;white;ak
anchorage / mat-su;34995;2017;mercedes-benz;e300;excellent;4 cylinders;gas;automatic;sedan;red;ak
anchorage / mat-su;34995;2015;ram;1500;excellent;8 cylinders;gas;automatic;truck;silver;ak
anchorage / mat-su;34995;2015;chevrolet;silverado 1500;like new;8 cylinders;gas;automatic;truck;black;ak
anchorage / mat-su;34995;2018;honda;odyssey ex-l;excellent;6 cylinders;gas;automatic;mini-van;grey;ak
anchorage / mat-su;34995;2014;chevrolet;silverado 1500;like new;8 cylinders;gas;automatic;truck;brown;ak
anchorage / mat-su;34995;2017;toyota;tacoma trd sport 4x4;excellent;6 cylinders;gas;automatic;pickup;red;ak
anchorage / mat-su;34995;2014;chevrolet;silverado 1500;like new;8 cylinders;gas;automatic;truck;brown;ak
anchorage / mat-su;34995;2012;ram;2500 laramie longhorn;like new;6 cylinders;diesel;automatic;truck;white;ak
anchorage / mat-su;34995;2017;cadillac;ct6 premium luxury awd;excellent;6 cylinders;gas;automatic;sedan;blue;ak
anchorage / mat-su;34995;2017;mercedes-benz;e300;excellent;4 cylinders;gas;automatic;sedan;red;ak
anchorage / mat-su;34995;2015;chevrolet;silverado 1500;like new;8 cylinders;gas;automatic;truck;black;ak
phoenix;34995;2011;ford;f-250 super duty xlt;excellent;8 cylinders;diesel;automatic;pickup;red;az
bakersfield;34995;2017;chevrolet;colorado z71;excellent;6 cylinders;gas;automatic;truck;grey;ca
chico;34995;2018;bmw;x4 xdrive28i;excellent;4 cylinders;gas;automatic;SUV;silver;ca
auburn;34990;2018;ford;mustang gt premium;good;8 cylinders;gas;other;other;black;al
birmingham;34990;2018;ram;1500 quad cab big horn;good;6 cylinders;other;other;pickup;silver;al
birmingham;34990;2017;gmc;sierra 1500 double cab sle;good;8 cylinders;gas;other;pickup;white;al
birmingham;34990;2017;ram;2500;good;8 cylinders;gas;automatic;truck;white;al
birmingham;34990;2001;ford;super duty f-350 drw;good;8 cylinders;diesel;automatic;truck;custom;al
dothan;34990;2018;jeep;grand cherokee trailhawk;good;6 cylinders;gas;other;other;black;al
dothan;34990;2018;ram;1500 quad cab big horn;good;6 cylinders;other;other;pickup;silver;al
dothan;34990;2018;ram;1500 crew cab slt pickup 4d;good;6 cylinders;gas;other;pickup;silver;al
dothan;34990;2017;gmc;sierra 1500 double cab sle;good;8 cylinders;gas;other;pickup;white;al
gadsden-anniston;34990;2017;gmc;sierra 1500 double cab sle;good;8 cylinders;gas;other;pickup;white;al
flagstaff / sedona;34990;2018;ford;mustang gt premium;good;8 cylinders;gas;other;other;black;az
phoenix;34990;2018;ford;f150 supercrew cab xl;good;6 cylinders;gas;automatic;pickup;red;az
phoenix;34990;2018;ram;1500 quad cab big horn;good;6 cylinders;other;other;pickup;silver;az
phoenix;34990;2010;chevrolet;corvette coupe 2d;good;8 cylinders;gas;other;coupe;blue;az
phoenix;34990;2009;lexus;lx 570 sport utility 4d;good;8 cylinders;gas;other;SUV;black;az
phoenix;34990;2018;jeep;grand cherokee trailhawk;good;6 cylinders;gas;other;other;black;az
phoenix;34990;2019;dodge;challenger r/t coupe 2d;good;8 cylinders;gas;other;coupe;red;az
prescott;34990;2019;dodge;challenger r/t coupe 2d;good;8 cylinders;gas;other;coupe;red;az
sierra vista;34990;2016;chevrolet;silverado 1500 double;good;8 cylinders;gas;other;pickup;red;az
sierra vista;34990;2018;jeep;grand cherokee trailhawk;good;6 cylinders;gas;other;other;black;az
tucson;34990;2018;mercedes-benz;gle 350 sport;good;6 cylinders;gas;automatic;other;white;az
tucson;34990;2017;dodge;durango r/t sport utility;good;8 cylinders;gas;other;other;black;az
tucson;34990;2017;lexus;rx 350 sport utility 4d;good;6 cylinders;gas;other;other;red;az
texarkana;34990;2018;ford;mustang gt premium;good;8 cylinders;gas;other;convertible;black;ar
bakersfield;34990;2016;chevrolet;silverado 1500 double;good;8 cylinders;gas;other;pickup;red;ca
bakersfield;34990;2016;gmc;canyon crew cab sle pickup;good;6 cylinders;gas;other;pickup;red;ca
bakersfield;34990;2017;dodge;durango r/t sport utility;good;8 cylinders;gas;other;other;black;ca
bakersfield;34990;2019;ram;1500 classic crew cab big;good;8 cylinders;gas;other;pickup;white;ca
bakersfield;34990;2014;toyota;tacoma double cab pickup;good;6 cylinders;gas;other;pickup;white;ca
chico;34990;2016;gmc;canyon crew cab sle pickup;good;6 cylinders;gas;other;pickup;red;ca
chico;34990;2019;ram;1500 classic crew cab big;good;8 cylinders;gas;other;pickup;white;ca
chico;34990;2019;toyota;highlander xle sport;good;6 cylinders;gas;other;other;white;ca
chico;34990;2018;lexus;rx 350 sport utility 4d;good;6 cylinders;gas;other;SUV;silver;ca
fresno / madera;34990;2016;gmc;canyon crew cab sle pickup;good;6 cylinders;gas;other;pickup;red;ca
fresno / madera;34990;2019;ram;1500 classic crew cab big;good;8 cylinders;gas;other;pickup;white;ca
fresno / madera;34990;2019;toyota;tacoma double cab trd;good;6 cylinders;gas;other;pickup;white;ca
los angeles;34990;2020;honda;ridgeline sport pickup 4d;good;6 cylinders;gas;other;pickup;black;ca
los angeles;34990;2019;ram;1500 classic quad cab;good;6 cylinders;other;other;pickup;white;ca
fort smith;34988;2014;gmc;sierra 2500hd;like new;8 cylinders;diesel;automatic;truck;black;ar
fort smith;34988;2016;chevrolet;silverado;like new;8 cylinders;gas;automatic;truck;blue;ar
fort smith;34988;2015;chevrolet;silverado 3500hd ltz;like new;8 cylinders;diesel;automatic;truck;brown;ar
bakersfield;34978;2012;ford;450 tow truck (wrecker);excellent;8 cylinders;diesel;automatic;truck;white;ca
phoenix;34950;2013;chevrolet;tahoe ltz 4wd;like new;8 cylinders;gas;automatic;SUV;white;az
phoenix;34950;2013;chevrolet;tahoe ltz 4wd;like new;8 cylinders;gas;automatic;SUV;white;az
phoenix;34950;2013;chevrolet;tahoe ltz 4wd;like new;8 cylinders;gas;automatic;SUV;white;az
bakersfield;34950;2010;ford;f450 super duty crew;excellent;8 cylinders;diesel;automatic;truck;white;ca
bakersfield;34950;2005;ram;2500 quad cab;excellent;6 cylinders;diesel;manual;truck;silver;ca
bakersfield;34950;2008;ford;f250 super duty crew;excellent;10 cylinders;gas;automatic;truck;white;ca
bakersfield;34950;2017;chevrolet;silverado 2500 hd;excellent;8 cylinders;gas;automatic;truck;white;ca
fresno / madera;34950;2015;ford;f-150;excellent;6 cylinders;gas;automatic;pickup;black;ca
birmingham;34900;2020;nissan;pathfinder;excellent;6 cylinders;gas;automatic;SUV;white;al
anchorage / mat-su;34900;2018;dodge;grand caravan gt;like new;6 cylinders;gas;automatic;mini-van;black;ak
fayetteville;34900;2017;chevrolet;silverado 1500;like new;8 cylinders;gas;automatic;truck;grey;ar
bakersfield;34900;2012;ford;econoline;good;8 cylinders;gas;automatic;truck;white;ca
fresno / madera;34900;2012;ford;econoline;good;8 cylinders;gas;automatic;truck;white;ca
inland empire;34900;2019;toyota;tacoma 2wd;excellent;6 cylinders;gas;automatic;truck;grey;ca
inland empire;34900;2017;ram;1500;excellent;8 cylinders;gas;automatic;truck;black;ca
inland empire;34900;2019;toyota;tacoma 2wd;excellent;4 cylinders;gas;automatic;truck;white;ca
inland empire;34900;2020;bmw;3 series;excellent;4 cylinders;gas;automatic;sedan;black;ca
phoenix;34899;2016;chevrolet;silverado 1500;excellent;8 cylinders;gas;automatic;truck;black;az
birmingham;34800;2019;ford;transit;like new;6 cylinders;gas;automatic;van;white;al
birmingham;34800;2019;ford;transit;excellent;6 cylinders;gas;automatic;van;white;al
huntsville / decatur;34800;2019;ford;transit;like new;6 cylinders;gas;automatic;van;white;al
huntsville / decatur;34800;2019;ford;transit;excellent;6 cylinders;gas;automatic;van;white;al
little rock;34800;2019;ford;transit;excellent;6 cylinders;gas;automatic;van;white;ar
fairbanks;34750;2016;nissan;titan xd;excellent;8 cylinders;diesel;automatic;truck;silver;ak
auburn;34590;2016;chevrolet;silverado 1500 double;good;6 cylinders;gas;other;pickup;silver;al
auburn;34590;2018;ford;f150 super cab xl pickup 4d;good;6 cylinders;gas;other;pickup;white;al
birmingham;34590;2018;ford;f150 super cab xl pickup 4d;good;6 cylinders;gas;other;pickup;white;al
birmingham;34590;2016;chevrolet;silverado 1500 double;good;6 cylinders;gas;other;pickup;silver;al
dothan;34590;2016;chevrolet;silverado 1500 double;good;6 cylinders;gas;other;pickup;silver;al
dothan;34590;2018;ford;f150 super cab xl pickup 4d;good;6 cylinders;gas;other;pickup;white;al
florence / muscle shoals;34590;2016;chevrolet;silverado 1500 double;good;6 cylinders;gas;other;pickup;silver;al
gadsden-anniston;34590;2018;ford;f150 super cab xl pickup 4d;good;6 cylinders;gas;other;pickup;white;al
gadsden-anniston;34590;2016;chevrolet;silverado 1500 double;good;6 cylinders;gas;other;pickup;silver;al
huntsville / decatur;34590;2018;ford;f150 super cab xl pickup 4d;good;6 cylinders;gas;other;pickup;white;al
huntsville / decatur;34590;2016;chevrolet;silverado 1500 double;good;6 cylinders;gas;other;pickup;silver;al
montgomery;34590;2015;ford;mustang gt premium;good;8 cylinders;gas;other;other;white;al
montgomery;34590;2016;chevrolet;silverado 1500 double;good;6 cylinders;gas;other;pickup;silver;al
tuscaloosa;34590;2015;ford;mustang gt premium;good;8 cylinders;gas;other;other;white;al
tuscaloosa;34590;2016;chevrolet;silverado 1500 double;good;6 cylinders;gas;other;pickup;silver;al
phoenix;34590;2016;mercedes-benz;cls-class cls 400;good;6 cylinders;gas;automatic;coupe;black;az
phoenix;34590;2018;toyota;highlander limited sport;good;6 cylinders;gas;other;other;brown;az
phoenix;34590;2017;cadillac;ct6 3.6 luxury sedan 4d;good;6 cylinders;gas;other;sedan;white;az
tucson;34590;2016;mercedes-benz;cls-class cls 400;good;6 cylinders;gas;automatic;coupe;black;az
tucson;34590;2015;chevrolet;silverado 1500 crew;good;8 cylinders;gas;other;pickup;blue;az
jonesboro;34590;2018;ford;f150 super cab xl pickup 4d;good;6 cylinders;gas;other;pickup;white;ar
jonesboro;34590;2016;chevrolet;silverado 1500 double;good;6 cylinders;gas;other;pickup;silver;ar
chico;34590;2019;chevrolet;silverado 1500 ld;good;8 cylinders;gas;other;pickup;brown;ca
gold country;34590;2019;chevrolet;silverado 1500 ld;good;8 cylinders;gas;other;pickup;brown;ca
gold country;34590;2016;chevrolet;camaro ss coupe 2d;good;8 cylinders;gas;other;coupe;silver;ca
hanford-corcoran;34590;2018;lexus;is 350 sedan 4d;good;6 cylinders;gas;other;sedan;white;ca
los angeles;34590;2018;ford;f150 supercrew cab limited;good;6 cylinders;gas;automatic;pickup;black;ca
prescott;34588;2019;ram;1500;like new;8 cylinders;gas;automatic;truck;grey;az
birmingham;34500;2019;ford;transit;like new;6 cylinders;gas;automatic;van;white;al
huntsville / decatur;34500;2019;ford;transit;like new;6 cylinders;gas;automatic;van;white;al
mobile;34500;2019;toyota;highlander;excellent;6 cylinders;gas;automatic;SUV;silver;al
anchorage / mat-su;34500;2018;ford;f-150;excellent;8 cylinders;gas;automatic;truck;white;ak
anchorage / mat-su;34500;2018;ford;f-150;excellent;8 cylinders;gas;automatic;truck;white;ak
phoenix;34500;2017;toyota;sienna se;good;6 cylinders;gas;automatic;mini-van;silver;az
phoenix;34500;2019;ram;promaster 1500;excellent;6 cylinders;gas;automatic;van;white;az
prescott;34500;2019;buick;enclave leather;excellent;6 cylinders;gas;automatic;SUV;grey;az
sierra vista;34500;2014;ram;2500;excellent;6 cylinders;diesel;automatic;pickup;white;az
fresno / madera;34500;2019;ram;promaster 1500;excellent;6 cylinders;gas;automatic;van;white;ca
inland empire;34500;2019;ram;promaster 1500;excellent;6 cylinders;gas;automatic;van;white;ca
los angeles;34500;2019;ram;promaster 1500;excellent;6 cylinders;gas;automatic;van;white;ca
bakersfield;34395;2019;ford;f-150;excellent;8 cylinders;gas;automatic;pickup;white;ca
fresno / madera;34395;2019;ford;f-150;excellent;8 cylinders;gas;automatic;pickup;white;ca
tucson;34285;2019;toyota;tacoma;excellent;6 cylinders;gas;automatic;pickup;black;az
fresno / madera;34111;2014;gmc;sierra;excellent;8 cylinders;gas;automatic;truck;silver;ca
chico;34000;2018;jeep;grand cherokee trailhawk;like new;6 cylinders;gas;automatic;SUV;grey;ca
los angeles;34000;2015;chevrolet;silverado 2500hd;good;8 cylinders;gas;automatic;truck;white;ca
anchorage / mat-su;33999;2012;ford;f-250 lariat 6.7;excellent;8 cylinders;diesel;automatic;truck;grey;ak
little rock;33999;2015;gmc;yukon denali;excellent;8 cylinders;gas;automatic;SUV;brown;ar
bakersfield;33998;2014;ford;super duty f-250 srw;excellent;8 cylinders;diesel;automatic;pickup;black;ca
flagstaff / sedona;33997;2014;chevrolet;silverado 1500;excellent;8 cylinders;gas;automatic;pickup;white;az
tucson;33997;2014;chevrolet;silverado 1500;excellent;8 cylinders;gas;automatic;pickup;white;az
anchorage / mat-su;33995;2018;bmw;330i gt m-sport awd;excellent;4 cylinders;gas;automatic;hatchback;blue;ak
anchorage / mat-su;33995;2015;ford;f150 4x4;like new;8 cylinders;gas;automatic;truck;white;ak
anchorage / mat-su;33995;2016;audi;a7 premium plus awd;excellent;6 cylinders;gas;automatic;hatchback;silver;ak
anchorage / mat-su;33995;2015;ford;f150 4x4;like new;8 cylinders;gas;automatic;truck;white;ak
anchorage / mat-su;33995;2018;bmw;330i gt m-sport awd;excellent;4 cylinders;gas;automatic;hatchback;blue;ak
anchorage / mat-su;33995;2015;ford;f150 4x4;like new;8 cylinders;gas;automatic;truck;white;ak
anchorage / mat-su;33995;2016;audi;a7 premium plus awd;excellent;6 cylinders;gas;automatic;hatchback;silver;ak
anchorage / mat-su;33995;2018;bmw;330i gt m-sport awd;excellent;4 cylinders;gas;automatic;hatchback;blue;ak
flagstaff / sedona;33995;2010;dodge;challenger;excellent;8 cylinders;gas;other;sedan;black;az
fresno / madera;33995;2016;chevrolet;silverado 1500 lt;good;8 cylinders;gas;other;pickup;black;ca
humboldt county;33995;2019;infiniti;qx60;like new;6 cylinders;gas;automatic;SUV;grey;ca
los angeles;33995;2010;dodge;challenger;excellent;8 cylinders;gas;other;sedan;black;ca
auburn;33990;2017;jeep;wrangler unlimited sahara;good;6 cylinders;other;other;SUV;white;al
auburn;33990;2017;ram;1500 crew cab tradesman;good;8 cylinders;gas;other;pickup;blue;al
auburn;33990;2018;jeep;wrangler unlimited willys;good;6 cylinders;gas;other;other;white;al
birmingham;33990;2018;ford;mustang gt coupe 2d;good;8 cylinders;gas;other;coupe;blue;al
birmingham;33990;2017;ford;mustang gt coupe 2d;good;8 cylinders;gas;other;coupe;black;al
birmingham;33990;2016;chevrolet;express commercial cutaway;good;8 cylinders;gas;automatic;truck;white;al
birmingham;33990;2014;ford;super duty f-550 drw;good;8 cylinders;diesel;automatic;truck;white;al
birmingham;33990;2007;chevrolet;cc4500;good;8 cylinders;gas;automatic;truck;white;al
birmingham;33990;2012;ford;super duty f-250 srw;good;8 cylinders;diesel;automatic;truck;white;al
birmingham;33990;2014;ford;super duty f-550 drw;good;8 cylinders;diesel;automatic;truck;white;al
birmingham;33990;2016;chevrolet;express commercial cutaway;good;8 cylinders;gas;automatic;truck;white;al
birmingham;33990;2018;jeep;wrangler unlimited willys;good;6 cylinders;gas;other;other;white;al
dothan;33990;2017;ram;1500 crew cab tradesman;good;8 cylinders;gas;other;pickup;blue;al
dothan;33990;2018;jeep;wrangler unlimited willys;good;6 cylinders;gas;other;other;white;al
florence / muscle shoals;33990;2018;ford;f150 super cab xl pickup 4d;good;6 cylinders;other;other;pickup;black;al
gadsden-anniston;33990;2017;ford;mustang gt coupe 2d;good;8 cylinders;gas;other;coupe;black;al
gadsden-anniston;33990;2017;ram;1500 crew cab tradesman;good;8 cylinders;gas;other;pickup;blue;al
huntsville / decatur;33990;2011;chevrolet;corvette grand sport;good;8 cylinders;gas;other;other;yellow;al
huntsville / decatur;33990;2016;gmc;sierra 1500 double cab sle;good;8 cylinders;gas;other;pickup;silver;al
montgomery;33990;2013;gmc;sierra 1500 crew cab slt;good;8 cylinders;other;other;pickup;red;al
montgomery;33990;2018;gmc;sierra 1500 double cab sle;good;6 cylinders;gas;other;pickup;white;al
montgomery;33990;2018;jeep;wrangler unlimited willys;good;6 cylinders;gas;other;other;white;al
tuscaloosa;33990;2017;ram;1500 crew cab tradesman;good;8 cylinders;gas;other;pickup;blue;al
flagstaff / sedona;33990;2012;mercedes-benz;e-class e 63 amg;good;8 cylinders;gas;automatic;sedan;white;az
flagstaff / sedona;33990;2017;ram;1500 crew cab tradesman;good;8 cylinders;gas;other;pickup;blue;az
flagstaff / sedona;33990;2019;jeep;wrangler sport suv 2d;good;6 cylinders;gas;other;other;white;az
flagstaff / sedona;33990;2016;ford;f250 super duty cab xl;good;8 cylinders;gas;other;pickup;white;az
flagstaff / sedona;33990;2017;dodge;challenger r/t shaker;good;8 cylinders;gas;other;coupe;red;az
prescott;33990;2012;mercedes-benz;e-class e 63 amg;good;8 cylinders;gas;automatic;sedan;white;az
prescott;33990;2019;jeep;wrangler sport suv 2d;good;6 cylinders;gas;other;other;white;az
sierra vista;33990;2012;mercedes-benz;e-class e 63 amg;good;8 cylinders;gas;automatic;sedan;white;az
sierra vista;33990;2019;jeep;wrangler sport suv 2d;good;6 cylinders;gas;other;other;white;az
tucson;33990;2020;nissan;370z coupe 2d;good;6 cylinders;gas;other;coupe;white;az
tucson;33990;2015;jaguar;xj xjl portfolio sedan 4d;good;6 cylinders;other;other;sedan;green;az
tucson;33990;2012;mercedes-benz;e-class e 63 amg;good;8 cylinders;gas;automatic;sedan;white;az
jonesboro;33990;2018;gmc;sierra 1500 double cab sle;good;6 cylinders;gas;other;pickup;white;ar
jonesboro;33990;2018;jeep;wrangler unlimited willys;good;6 cylinders;gas;other;other;white;ar
little rock;33990;2019;jeep;wrangler sport suv 2d;good;6 cylinders;gas;other;other;white;ar
little rock;33990;2013;gmc;sierra 1500 crew cab slt;good;8 cylinders;other;other;pickup;red;ar
little rock;33990;2017;ram;1500 crew cab tradesman;good;8 cylinders;gas;other;pickup;blue;ar
little rock;33990;2018;jeep;wrangler unlimited willys;good;6 cylinders;gas;other;other;white;ar
texarkana;33990;2019;jeep;wrangler sport suv 2d;good;6 cylinders;gas;other;other;white;ar
texarkana;33990;2012;mercedes-benz;e-class e 63 amg;good;8 cylinders;gas;automatic;sedan;white;ar
bakersfield;33990;2020;nissan;370z coupe 2d;good;6 cylinders;gas;other;coupe;white;ca
bakersfield;33990;2016;gmc;sierra 1500 double cab sle;good;8 cylinders;gas;other;pickup;silver;ca
bakersfield;33990;2019;jeep;wrangler sport suv 2d;good;6 cylinders;gas;other;other;white;ca
chico;33990;2012;mercedes-benz;e-class e 63 amg;good;8 cylinders;gas;automatic;sedan;white;ca
chico;33990;2015;chevrolet;ss sedan 4d;good;8 cylinders;gas;automatic;sedan;white;ca
fresno / madera;33990;2016;gmc;sierra 1500 double cab sle;good;8 cylinders;gas;other;pickup;silver;ca
gold country;33990;2012;mercedes-benz;e-class e 63 amg;good;8 cylinders;gas;automatic;sedan;white;ca
gold country;33990;2019;jeep;wrangler sport suv 2d;good;6 cylinders;gas;other;other;white;ca
hanford-corcoran;33990;2018;ford;f150 super cab xl pickup 4d;good;6 cylinders;other;other;pickup;black;ca
los angeles;33990;2018;ford;f150 super cab xl pickup 4d;good;6 cylinders;other;other;pickup;black;ca
fort smith;33988;2013;toyota;fj cruiser;like new;6 cylinders;gas;automatic;truck;grey;ar
bakersfield;33950;2011;ram;2500 crew cab slt;excellent;8 cylinders;gas;automatic;truck;black;ca
huntsville / decatur;33900;2019;gmc;savana;like new;8 cylinders;gas;automatic;van;white;al
anchorage / mat-su;33900;2014;ford;super duty f-250;excellent;8 cylinders;diesel;automatic;pickup;white;ak
little rock;33900;2019;gmc;savana;like new;8 cylinders;gas;automatic;van;white;ar
inland empire;33900;2018;toyota;tacoma;excellent;4 cylinders;gas;automatic;truck;grey;ca
phoenix;33888;2014;chevrolet;silverado 1500;like new;8 cylinders;gas;automatic;truck;white;az
phoenix;33888;2013;chevrolet;silverado 2500hd;like new;8 cylinders;gas;automatic;truck;silver;az
phoenix;33888;2014;ram;1500 4x4;like new;8 cylinders;gas;automatic;truck;black;az
phoenix;33888;2016;ram;2500 hemi;like new;8 cylinders;gas;automatic;truck;grey;az
phoenix;33800;2018;ford;f150 xlt;like new;8 cylinders;gas;automatic;truck;silver;az
anchorage / mat-su;33750;2017;alfa-romeo;romeo giulia;excellent;4 cylinders;gas;automatic;sedan;red;ak
anchorage / mat-su;33750;2017;alfa-romeo;romeo giulia;excellent;4 cylinders;gas;automatic;sedan;red;ak
little rock;33700;2017;lexus;gs 350 f sport;like new;6 cylinders;gas;automatic;sedan;silver;ar
little rock;33700;2019;ram;1500;like new;8 cylinders;gas;automatic;truck;black;ar
flagstaff / sedona;33595;2017;gmc;sierra 1500 base;good;6 cylinders;other;automatic;pickup;red;az
auburn;33590;2014;gmc;sierra 1500 crew cab slt;good;8 cylinders;gas;other;pickup;white;al
auburn;33590;2017;jeep;wrangler unlimited sport;good;6 cylinders;gas;other;SUV;black;al
birmingham;33590;2014;gmc;sierra 1500 crew cab slt;good;8 cylinders;gas;other;pickup;white;al
birmingham;33590;2017;cadillac;xt5 platinum sport;good;6 cylinders;gas;other;other;black;al
birmingham;33590;2020;chevrolet;silverado 1500 double;good;6 cylinders;other;other;pickup;white;al
birmingham;33590;2020;chevrolet;silverado 1500 double;good;8 cylinders;gas;other;pickup;red;al
dothan;33590;2014;gmc;sierra 1500 crew cab slt;good;8 cylinders;gas;other;pickup;white;al
dothan;33590;2020;chevrolet;silverado 1500 double;good;6 cylinders;other;other;pickup;white;al
gadsden-anniston;33590;2014;gmc;sierra 1500 crew cab slt;good;8 cylinders;gas;other;pickup;white;al
huntsville / decatur;33590;2014;gmc;sierra 1500 crew cab slt;good;8 cylinders;gas;other;pickup;white;al
huntsville / decatur;33590;2017;cadillac;xt5 platinum sport;good;6 cylinders;gas;other;other;black;al
huntsville / decatur;33590;2020;chevrolet;silverado 1500 double;good;6 cylinders;other;other;pickup;white;al
huntsville / decatur;33590;2020;chevrolet;silverado 1500 double;good;8 cylinders;gas;other;pickup;red;al
montgomery;33590;2014;gmc;sierra 1500 crew cab slt;good;8 cylinders;gas;other;pickup;white;al
montgomery;33590;2015;mercedes-benz;e-class e 400;good;6 cylinders;gas;other;convertible;white;al
montgomery;33590;2020;chevrolet;silverado 1500 double;good;6 cylinders;other;other;pickup;white;al
flagstaff / sedona;33590;2017;audi;q5 3.0t premium plus sport;good;6 cylinders;gas;automatic;SUV;black;az
phoenix;33590;2014;gmc;sierra 1500 crew cab slt;good;8 cylinders;gas;other;pickup;white;az
phoenix;33590;2012;toyota;fj cruiser sport utility;good;6 cylinders;gas;other;other;black;az
sierra vista;33590;2014;gmc;sierra 1500 crew cab slt;good;8 cylinders;gas;other;pickup;white;az
tucson;33590;2014;gmc;sierra 1500 crew cab slt;good;8 cylinders;gas;other;pickup;white;az
tucson;33590;2019;toyota;tacoma double cab sr5;good;6 cylinders;gas;other;pickup;silver;az
tucson;33590;2015;audi;a8 l 4.0t sedan 4d;good;8 cylinders;gas;automatic;sedan;black;az
tucson;33590;2018;ford;explorer xlt sport utility;good;6 cylinders;gas;other;other;black;az
jonesboro;33590;2014;gmc;sierra 1500 crew cab slt;good;8 cylinders;gas;other;pickup;white;ar
little rock;33590;2015;chevrolet;silverado 1500 crew;good;8 cylinders;gas;other;pickup;red;ar
bakersfield;33590;2014;gmc;sierra 1500 crew cab slt;good;8 cylinders;gas;other;pickup;white;ca
bakersfield;33590;2017;infiniti;qx80 limited sport;good;8 cylinders;gas;other;other;silver;ca
bakersfield;33590;2020;hyundai;palisade se sport;good;6 cylinders;gas;other;SUV;white;ca
chico;33590;2020;hyundai;palisade se sport;good;6 cylinders;gas;other;SUV;white;ca
fresno / madera;33590;2014;gmc;sierra 1500 crew cab slt;good;8 cylinders;gas;other;pickup;white;ca
gold country;33590;2014;gmc;sierra 1500 crew cab slt;good;8 cylinders;gas;other;pickup;white;ca
los angeles;33590;2016;porsche;macan s sport utility 4d;good;6 cylinders;gas;other;other;black;ca
los angeles;33590;2012;toyota;fj cruiser sport utility;good;6 cylinders;gas;other;other;black;ca
phoenix;33500;2018;rover;discovery sport 4x4;like new;4 cylinders;gas;automatic;SUV;white;az
phoenix;33500;2018;rover;discovery sport 4x4;like new;4 cylinders;gas;automatic;SUV;white;az
phoenix;33500;2018;rover;discovery sport 4x4;like new;4 cylinders;gas;automatic;SUV;white;az
gold country;33500;1965;ford;mustang coupe;excellent;6 cylinders;gas;automatic;coupe;grey;ca
los angeles;33500;2016;bmw;x5 xdrive35i;like new;4 cylinders;gas;automatic;SUV;black;ca
